127.0.0.1 - - [10/Jul/2017:00:14:00 -0600] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [10/Jul/2017:00:14:01 -0600] "GET /Sessions_and_Cookies/todo-demo.jsp HTTP/1.1" 200 564
0:0:0:0:0:0:0:1 - - [10/Jul/2017:00:14:08 -0600] "GET /Sessions_and_Cookies/todo-demo.jsp?theItem=Go+to+store HTTP/1.1" 200 571
0:0:0:0:0:0:0:1 - - [10/Jul/2017:00:14:15 -0600] "GET /Sessions_and_Cookies/todo-demo.jsp?theItem=Do+Laundry HTTP/1.1" 200 570
0:0:0:0:0:0:0:1 - - [10/Jul/2017:00:20:42 -0600] "GET /Sessions_and_Cookies/todo-demo.jsp HTTP/1.1" 200 587
0:0:0:0:0:0:0:1 - - [10/Jul/2017:00:20:48 -0600] "GET /Sessions_and_Cookies/todo-demo.jsp?theItem=Clean+my+house HTTP/1.1" 200 612
0:0:0:0:0:0:0:1 - - [10/Jul/2017:00:20:55 -0600] "GET /Sessions_and_Cookies/todo-demo.jsp?theItem=Move+downstairs HTTP/1.1" 200 638
0:0:0:0:0:0:0:1 - - [10/Jul/2017:00:21:00 -0600] "GET /Sessions_and_Cookies/todo-demo.jsp?theItem=Feed+the+Cats HTTP/1.1" 200 662
0:0:0:0:0:0:0:1 - - [10/Jul/2017:00:21:07 -0600] "GET /Sessions_and_Cookies/todo-demo.jsp?theItem=Talk+to+Sarah HTTP/1.1" 200 686
0:0:0:0:0:0:0:1 - - [10/Jul/2017:00:21:47 -0600] "GET /Sessions_and_Cookies/todo-demo.jsp?theItem=Talk+to+Sarah HTTP/1.1" 200 716
0:0:0:0:0:0:0:1 - - [10/Jul/2017:00:22:04 -0600] "GET /Sessions_and_Cookies/todo-demo.jsp?theItem=Talk+to+Sarah HTTP/1.1" 200 747
0:0:0:0:0:0:0:1 - - [10/Jul/2017:00:22:08 -0600] "GET /Sessions_and_Cookies/todo-demo.jsp?theItem= HTTP/1.1" 200 758
0:0:0:0:0:0:0:1 - - [10/Jul/2017:00:22:08 -0600] "GET /Sessions_and_Cookies/todo-demo.jsp?theItem= HTTP/1.1" 200 769
0:0:0:0:0:0:0:1 - - [10/Jul/2017:00:22:09 -0600] "GET /Sessions_and_Cookies/todo-demo.jsp?theItem= HTTP/1.1" 200 780
0:0:0:0:0:0:0:1 - - [10/Jul/2017:00:22:09 -0600] "GET /Sessions_and_Cookies/todo-demo.jsp?theItem= HTTP/1.1" 200 791
0:0:0:0:0:0:0:1 - - [10/Jul/2017:00:22:10 -0600] "GET /Sessions_and_Cookies/todo-demo.jsp?theItem= HTTP/1.1" 200 802
0:0:0:0:0:0:0:1 - - [10/Jul/2017:00:22:10 -0600] "GET /Sessions_and_Cookies/todo-demo.jsp?theItem= HTTP/1.1" 200 813
0:0:0:0:0:0:0:1 - - [10/Jul/2017:00:22:10 -0600] "GET /Sessions_and_Cookies/todo-demo.jsp?theItem= HTTP/1.1" 200 824
0:0:0:0:0:0:0:1 - - [10/Jul/2017:00:22:11 -0600] "GET /Sessions_and_Cookies/todo-demo.jsp?theItem= HTTP/1.1" 200 835
0:0:0:0:0:0:0:1 - - [10/Jul/2017:00:22:11 -0600] "GET /Sessions_and_Cookies/todo-demo.jsp?theItem= HTTP/1.1" 200 846
0:0:0:0:0:0:0:1 - - [10/Jul/2017:00:22:11 -0600] "GET /Sessions_and_Cookies/todo-demo.jsp?theItem= HTTP/1.1" 200 857
0:0:0:0:0:0:0:1 - - [10/Jul/2017:00:22:12 -0600] "GET /Sessions_and_Cookies/todo-demo.jsp?theItem= HTTP/1.1" 200 868
0:0:0:0:0:0:0:1 - - [10/Jul/2017:00:22:12 -0600] "GET /Sessions_and_Cookies/todo-demo.jsp?theItem= HTTP/1.1" 200 879
0:0:0:0:0:0:0:1 - - [10/Jul/2017:00:22:12 -0600] "GET /Sessions_and_Cookies/todo-demo.jsp?theItem= HTTP/1.1" 200 890
